Family,Species,SpecCode,A_ord,B_pen,MaxSizeTL,Linf,LinfType,LinfTL,K,Kmax,O,Method,Source
Apogonidae,Apogon pacificus,25508,0.0103,3.074,35,15,TL,15,0.9,0.9,2.31,Unknown,Inferred
Apogonidae,Apogon retrosella,46598,0.00977,3.1922,25,15,TL,15,0.9,0.9,2.31,Unknown,Inferred
Tetraodontidae,Arothron hispidus,5425,0.06338,2.755,45,30,TL,30,0.51,0.51,2.66,LenFrq,Family
Tetraodontidae,Arothron meleagris,6401,0.057,2.801,45,29.5,TL,29.5,0.77,0.77,2.83,LenFrq,Family
Fistulariidae,Aulostomus chinensis,1309,0.0009,3.5144,110,102.4,TL,102.4,0.493,0.493,3.71,LenFrq,Inferred
Pomacentridae,Azurina atrilobata,8279,0.0052,3.416,75,18.9,TL,18.9,0.85,0.85,2.48,LenFrq,Family
Pomacentridae,Azurina hirundo,11849,0.0052,3.416,15,18.9,TL,18.9,0.85,0.85,2.48,LenFrq,Family
Balistidae,Balistes polylepis,4276,0.0547,2.66,85,55.8,TL,55.8,0.17,0.17,2.72,OthRin,Fishbase
Labridae,Bodianus diplotaenia,8270,0.0163,3.063,90,45.54,SL,54.77685708,0.168,0.168,2.54,OthRin,Inferred
Bothidae,Bothus mancus,7641,0.027,2.6,50,16.95,SL,20.31764706,0.5825,0.5825,2.3,Otolth,Inferred
Sparidae,Calamus brachysomus,3573,0.04288,2.801,50,51.2,TL,51.2,0.174,0.174,2.66,Unknown,Inferred
Scaridae,Calotomus carolinus,4355,0.0122,3.167,45,26.3,FL,26.3,0.91,0.91,2.8,Otolth,Fishbase
Monacanthidae,Cantherhines dumerilii,5836,0.0406,2.792,55,63.5,TL,63.5,0.22,0.22,2.95,LenFrq,Family
Tetraodontidae,Canthigaster punctatissima,14159,0.0323,2.953,70,30,TL,30,0.51,0.51,2.66,LenFrq,Family
Carangidae,Caranx caballus,1900,0.021,2.97,70,52.02,SL,63.9588501,0.362,0.362,2.95,Otolth,Fishbase
Carangidae,Caranx caninus,1901,0.0161,3,80,83.3,SL,83.3,0.202,0.202,3.15,Otolth,Fishbase
Carangidae,Caranx lugubris,1936,0.0198,3.001,75,50.8,SL,60.079636,0.41,0.41,2.91,Otolth,Fishbase
Carangidae,Caranx melampygus,1906,0.0234,2.918,85,89.7,SL,105.024348,0.233,0.233,3.27,Otolth,Fishbase
Carangidae,Caranx sexfasciatus,1917,0.0262,3.005,90,80,FL,86.7416,0.24,0.24,3.19,Unknown,Fishbase
Carcharhinidae,Carcharhinus falciformis,868,0.0019,2.918,90,240,TL,240,0.14,0.14,3.91,OthRin,Fishbase
Carcharhinidae,Carcharhinus galapagensis,870,0.00145,3.328,30,388.5,TL,388.5,0.125,0.125,4.28,Unknown,Fishbase
Malacanthidae,Caulolatilus affinis,8276,0.0122,3.139,55,38.8,SL,38.8,0.173,0.173,2.42,Otolth,Fishbase
Centropomidae,Centropomus robalito,10978,0.008,3.083,45,49.6,TL,49.6,0.4,0.4,2.99,LenFrq,Inferred
Serranidae,Cephalopholis panamensis,8761,0.0217,3.035,55,24.9,SL,30.088662,0.196,0.196,2.08,Otolth,Fishbase
Ephippidae,Chaetodipterus zonatus,3599,0.017,2.68,40,49,TL,49,0.34,0.34,2.91,Otolth,Inferred
Chaetodontidae,Chaetodon humeralis,8278,0.02222,3.14,45,9.07,TL,9.07,2.15,2.15,2.25,Otolth,Inferred
Chanidae,Chanos chanos,80,0.00731,3.251,100,47.9,TL,47.9,0.92,0.92,3.32,Unknown,Fishbase
Diodontidae,Chilomycterus reticulatus,10206,0.254,2.38,55,36.4,TL,36.4,0.33,0.33,2.64,LenFrq,Inferred
Pomacentridae,Chromis alta,11853,0.0159,3.042,15,14.4,TL,14.4,0.24,0.24,1.68,ScalRi,Inferred
Pomacentridae,Chromis limbaughi,11869,0.0159,3.042,45,14.4,TL,14.4,0.24,0.24,1.68,ScalRi,Inferred
Cirrhitidae,Cirrhitichthys oxycephalus,5830,0.01381,3.117,75,8.3,SL,9.6861,0.4,0.4,1.44,Otolth,Inferred
Cirrhitidae,Cirrhitus rivulatus,6408,0.0276,3,80,7.3,SL,8.5191,0.7,0.7,1.57,Otolth,Inferred
Tripterygiidae,Crocodilichthys gracilis,46606,0.0085,2.86,5,4.9,SL,5.615841,1.2,1.2,1.46,Unknown,Family
Carangidae,Decapterus macarellus,993,0.007,3.14,20,24.3,TL,24.3,1.8,1.8,3.03,LenFrq,Fishbase
Carangidae,Decapterus muroadsi,12302,0.01094,3,30,32.6,TL,32.6,0.97,0.97,3.01,LenFrq,Inferred
Serranidae,Dermatolepis dermatolepis,9185,0.017,3,75,121,TL,121,0.3,0.3,3.64,LenFrq,Inferred
Diodontidae,Diodon holocanthus,4659,0.1196,2.6296,75,25.7,SL,25.7,0.52,0.52,2.54,LenFrq,Fishbase
Diodontidae,Diodon hystrix,1022,0.533,2.276,75,25.7,SL,25.7,0.52,0.52,2.54,LenFrq,Inferred
Narcinidae,Diplobatis ommata,8723,0.0245,2.72,50,,,,,,,,
Muraenidae,Echidna nebulosa,5388,0.0012,3,200,170,TL,170,0.078,0.078,3.35,Otolth,Family
Muraenidae,Echidna nocturna,8287,0.0012,3,100,94.5,TL,94.5,0.167,0.167,3.17,Unknown,Family
Gobiidae,Elacatinus puncticulatus,46894,0.0092,3.017,5,3.6,TL,3.6,2.006,2.006,1.41,Unknown,Family
Carangidae,Elagatis bipinnulata,412,0.0235,2.92,65,97.5,FL,116.053275,0.6,0.6,3.76,LenFrq,Fishbase
Elopidae,Elops affinis,2601,0.00229,3.224,65,36.2,TL,36.2,0.48,0.48,2.8,Unknown,Inferred
Serranidae,Epinephelus labriformis,8196,0.0343,2.9,95,36.4,TL,36.4,0.247,0.247,2.51,ScalRi,Fishbase
Scombridae,Euthynnus lineatus,98,0.0242,3.018,55,72.5,TL,72.5,0.11,0.11,2.76,LenFrq,Inferred
Carangidae,Ferdauia orthogrammus,1909,0.0156,3.0256,75,97.3,SL,113.922732,0.194,0.194,3.26,Unknown,Inferred
Fistulariidae,Fistularia commersonii,5444,0.0006,3,130,102.4,TL,102.4,0.493,0.493,3.71,LenFrq,Fishbase
Chaetodontidae,Forcipiger flavissimus,5584,0.021,3,35,11.1,TL,11.1,1.42,1.42,2.24,Otolth,Family
Carcharhinidae,Galeocerdo cuvier,886,0.00145,3.328,300,338,TL,338,0.184,0.184,4.44,OthRin,Fishbase
Gerreidae,Gerres cinereus,1054,0.017,3.16,25,36,TL,36,0.341,0.341,2.65,ScalRi,Fishbase
Ginglymostomatidae,Ginglymostoma cirratum,2532,0.0105,2.89,180,449,NG,449,0.141,0.141,4.45,Unknown,Fishbase
Kyphosidae,Girella simplicidens,12229,0.0163,3.022,65,40.9,FL,40.9,0.214,0.214,2.55,ScalRi,Inferred
Carangidae,Gnathanodon speciosus,4464,0.008,3.3,60,73,FL,84.92747,0.53,0.53,3.45,LenFrq,Fishbase
Muraenidae,Gymnomuraena zebra,7880,0.00409,2.856,130,105.9,TL,105.9,0.178,0.178,3.3,Otolth,Family
Muraenidae,Gymnothorax castaneus,13782,0.00409,2.856,155,140.7,TL,140.7,0.079,0.079,3.19,Unknown,Family
Muraenidae,Gymnothorax dovii,13783,0.00409,2.856,120,105.9,TL,105.9,0.178,0.178,3.3,Otolth,Family
Haemulidae,Haemulon flaviguttatum,13707,0.103,2.6,40,42.4,FL,46.643604,0.115,0.115,2.32,LenFrq,Fishbase
Haemulidae,Haemulon maculicauda,8317,0.0089,3.16,80,30.9,FL,33.534843,0.12,0.12,2.06,LenFrq,Fishbase
Haemulidae,Haemulon scudderii,13717,0.0145,3.02,40,42.4,FL,46.643604,0.115,0.115,2.32,LenFrq,Inferred
Haemulidae,Haemulon sexfasciatum,13718,0.081,2.71,55,49,FL,53.74173,0.132,0.132,2.5,LenFrq,Fishbase
Haemulidae,Haemulon steindachneri,1142,0.039,2.91,50,31,SL,35.79756,0.3,0.3,2.46,LenFrq,Fishbase
Labridae,Halichoeres chierchiae,13839,0.01338,2.939,35,28.6,TL,28.6,0.72,0.72,2.77,LenFrq,Inferred
Labridae,Halichoeres dispilus,8208,0.0227,2.804,45,20,TL,20,0.72,0.72,2.46,LenFrq,Inferred
Labridae,Halichoeres insularis,13843,0.01338,2.939,45,45,TL,45,0.6,0.6,3.08,Unknown,Inferred
Labridae,Halichoeres melanotis,13845,0.01338,2.939,50,22.5,TL,22.5,0.62,0.62,2.5,LenFrq,Inferred
Labridae,Halichoeres nicholsi,13846,0.00519,3.375,65,45,TL,45,0.6,0.6,3.08,Unknown,Inferred
Labridae,Halichoeres notospilus,8330,0.0131,3.038,40,28.6,TL,28.6,0.72,0.72,2.77,LenFrq,Inferred
Labridae,Halichoeres semicinctus,3667,0.01338,2.939,40,20,TL,20,0.72,0.72,2.46,LenFrq,Inferred
Heterodontidae,Heterodontus francisci,739,0.0105,2.892,70,108,TL,108,0.084,0.084,2.99,OthRin,Inferred
Priacanthidae,Heteropriacanthus cruentatus,1150,0.0279,2.823,35,29,FL,33.56481481,0.65,0.65,2.64,LenFrq,Family
Syngnathidae,Hippocampus ingens,3284,0.0006,3,20,28.5,SL,28.5,2.2,2.2,3.25,Unknown,Family
Pomacanthidae,Holacanthus clarionensis,11172,0.0271,3.084,30,37.89,TL,37.89,0.127,0.127,2.26,LenFrq,Inferred
Pomacanthidae,Holacanthus passer,8294,0.0271,3.084,80,37.89,TL,37.89,0.127,0.127,2.26,LenFrq,Fishbase
Lutjanidae,Hoplopagrus guentherii,1393,0.0228,3,120,29.3,SL,35.7,0.34,0.34,2.47,Otolth,Inferred
Dasyatidae,Hypanus dipterurus,2573,0.00028,3.34,100,92.4,WD,92.4,0.05,0.05,2.63,OthRin,Fishbase
Dasyatidae,Hypanus longus,13178,0.00028,3.34,100,62.2,WD,62.2,0.1,0.1,2.63,OthRin,Inferred
Serranidae,Hyporthodus acanthistius,9205,0.0187,3,60,94.8,TL,94.8,0.122,0.122,3.04,Otolth,Inferred
Chaetodontidae,Johnrandallia nigrirostris,12310,0.02222,3.14,60,19,TL,19,1.9,1.9,2.84,LenFrq,Family
Kyphosidae,Kyphosus azureus,3595,0.0275,2.86,40,48,FL,52.25208,0.25,0.25,2.76,LenFrq,Inferred
Kyphosidae,Kyphosus elegans,12230,0.0275,2.86,60,48,FL,52.25208,0.25,0.25,2.76,LenFrq,Inferred
Kyphosidae,Kyphosus ocyurus,3598,0.0275,2.86,55,48,FL,52.25208,0.25,0.25,2.76,LenFrq,Inferred
Kyphosidae,Kyphosus vaigiensis,5806,0.0275,2.86,80,48,FL,52.25208,0.25,0.25,2.76,LenFrq,Inferred
Labrisomidae,Labrisomus xanti,8297,0.018,2.7156,25,,,,,,,,
Serranidae,Liopropoma fasciatum,25552,0.0217,3.035,25,47.2,FL,47.2,0.3,0.3,2.87,Otolth,Inferred
Lutjanidae,Lutjanus aratus,1405,0.0126,3,60,64,SL,78.3008,0.156,0.156,2.81,LenFrq,Inferred
Lutjanidae,Lutjanus argentiventris,1408,0.026,2.9,85,68.6,NG,68.6,0.155,0.155,2.86,LenFrq,Fishbase
Lutjanidae,Lutjanus colorado,1426,0.0152,3,80,67.4,FL,69.364036,0.22,0.22,3,Unknown,Inferred
Lutjanidae,Lutjanus guttatus,152,0.0143,3,45,64.2,SL,76.229154,0.192,0.192,2.9,LenFrq,Fishbase
Lutjanidae,Lutjanus inermis,153,0.0182,2.96909,45,52,SL,62.02768,0.11,0.11,2.47,Otolth,Inferred
Lutjanidae,Lutjanus novemfasciatus,169,0.0145,3,170,95,TL,95,0.175,0.175,3.2,OthRin,Inferred
Lutjanidae,Lutjanus viridis,183,0.026,2.9,55,75.7,FL,81.167054,0.1,0.1,2.76,OthRin,Inferred
Labrisomidae,Malacoctenus ebisui,46665,0.0012,3.1915,5,,,,,,,,
Balistidae,Melichthys niger,966,0.0547,2.66,40,20.4,SL,23.291088,0.2052,0.2052,1.93,OthRin,Fishbase
Haemulidae,Microlepidotus brevipinnis,13722,0.0151,2.93,35,48.2,FL,52.513659,0.13,0.13,2.48,LenFrq,Family
Haemulidae,Microlepidotus inornatus,3569,0.0151,2.93,40,48.2,FL,52.513659,0.13,0.13,2.48,LenFrq,Family
Pomacentridae,Microspathodon bairdii,12453,0.02391,3.082,45,14.4,TL,14.4,0.24,0.24,1.68,ScalRi,Family
Pomacentridae,Microspathodon dorsalis,12455,0.02391,3.082,90,14.4,TL,14.4,0.24,0.24,1.68,ScalRi,Family
Myliobatidae,Mobula birostris,2061,0.0199,3,300,714,WD,714,0.162,0.162,4.92,Unknown,Fishbase
Myliobatidae,Mobula thurstoni,2588,0.0199,3,100,714,WD,714,0.15,0.15,4.88,Unknown,Inferred
Mugilidae,Mugil cephalus,785,0.0268,2.81,55,37.95,FL,41.745,0.46,0.46,2.98,Unknown,Fishbase
Mugilidae,Mugil curema,1086,0.0268,2.81,30,43.2,TL,43.2,0.6,0.6,3.05,Unknown,Fishbase
Mullidae,Mulloidichthys dentatus,3591,0.011,3.092,55,34.2,FL,37.371366,0.564,0.564,2.82,MarkRc,Inferred
Muraenidae,Muraena argus,13789,0.00409,2.856,120,105.9,TL,105.9,0.178,0.178,3.3,Otolth,Inferred
Muraenidae,Muraena lentiginosa,8207,0.00065,3.218,105,94.5,TL,94.5,0.167,0.167,3.17,Unknown,Inferred
Serranidae,Mycteroperca jordani,3333,0.0187,3,180,130,TL,130,0.155,0.155,3.42,LenFrq,Inferred
Serranidae,Mycteroperca prionura,9394,0.012,3,80,85.4,TL,85.4,0.057,0.057,2.62,Otolth,Inferred
Serranidae,Mycteroperca rosacea,9398,0.0133,2.97,105,108,TL,108,0.0924,0.0924,3.03,Otolth,Fishbase
Serranidae,Mycteroperca xenarcha,3334,0.0184,3,120,124,TL,124,0.124,0.124,3.28,Otolth,Inferred
Myliobatidae,Myliobatis californica,2582,0.0008,3.34,100,100,WD,100,0.229,0.229,3.36,OthRin,Fishbase
Ophichthidae,Myrichthys tigrinus,8298,0.00102,3,75,76,TL,76,0.3,0.3,3.24,Otolth,Family
Holocentridae,Myripristis berndti,4910,0.0277,3.0034,30,19.4,SL,24.71997731,0.219,0.219,1.92,Otolth,Inferred
Holocentridae,Myripristis leiognathus,13752,0.00534,3.61336,70,26.2,TL,26.2,0.68,0.68,2.67,LenFrq,Inferred
Narcinidae,Narcine entemedor,8215,0.0245,2.72,100,,,,,,,,
Scaridae,Nicholsina denticulata,13980,0.0227,2.804,45,26.3,FL,26.3,0.91,0.91,2.8,Otolth,Inferred
Labridae,Novaculichthys taeniourus,5610,0.013,2.91,65,27.5,TL,27.5,1.4,1.4,3.02,LenFrq,Fishbase
Scianidae,Odontoscion xanthops,13993,0.0105,3.007,35,47,TL,47,0.183,0.183,2.61,Unknown,Family
Blenniidae,Ophioblennius steindachneri,8300,0.01147,2.93324,45,17,TL,17,0.3,0.3,1.94,Unknown,Family
Opistognathidae,Opistognathus punctatus,6414,0.0153,3,25,,,,,,,,
Opistognathidae,Opistognathus rosenblatti,46578,0.00931,2.99,25,,,,,,,,
Ostraciidae,Ostracion meleagris,6556,0.101,2.558,30,,,,,,,,
Cirrhitidae,Oxycirrhites typus,5833,0.01381,3.117,60,8.3,SL,9.6861,0.4,0.4,1.44,Otolth,Family
Serranidae,Paralabrax auroguttatus,14238,0.0146,3,50,47.4,SL,57.8,0.1,0.1,2.41,Otolth,Fishbase
Serranidae,Paralabrax maculatofasciatus,3336,0.0325,2.915,40,30,SL,35.0568,0.296,0.296,2.43,Otolth,Fishbase
Serranidae,Paranthias colonus,8325,0.0148,2.863,70,31.4,TL,31.4,0.282,0.282,2.44,LenFrq,Inferred
Scianidae,Pareques fuscovittatus,14073,0.0087,3.202,80,47.6,TL,47.6,0.287,0.287,2.81,Unknown,Family
Blenniidae,Plagiotremus azaleus,25513,0.00655,3,45,17,TL,17,0.3,0.3,1.94,Unknown,Family
Pomacanthidae,Pomacanthus zonipectus,8328,0.0203,3.126,55,28.4,TL,28.4,0.4,0.4,2.16,Otolth,Inferred
Acanthuridae,Prionurus laticlavius,13417,0.198,2.504,40,24.3,TL,24.3,0.6,0.6,2.55,LenFrq,Family
Acanthuridae,Prionurus punctatus,13419,0.198,2.504,65,45.9,SL,49.974543,0.428,0.428,2.96,Otolth,Family
Chaetodontidae,Prognathodes falcifer,3603,0.02222,3.14,25,17.4,TL,17.4,1.5,1.5,2.66,LenFrq,Family
Balistidae,Pseudobalistes naufragium,8226,0.07255,2.76028,75,56,FL,56,0.49,0.49,3.19,Unknown,Inferred
Rhinobatidae,Pseudobatos productus,2549,0.004,3,100,178.5,TL,178.5,0.187,0.187,3.78,Unknown,Fishbase
Myliobatidae,Rhinoptera steindachneri,13271,0.004,3,110,91.2,WD,91.2,0.25,0.25,3.32,OthRin,Fishbase
Grammistidae,Rypticus bicolor,25545,0.0217,3.035,35,,,,,,,,
Grammistidae,Rypticus courtenayi,56840,0.0217,3.035,25,,,,,,,,
Grammistidae,Rypticus nigripinnis,8331,0.0217,3.035,40,,,,,,,,
Scombridae,Sarda orientalis,114,0.0217,2.87,50,68,TL,68,0.82,0.82,3.58,Otolth,Inferred
Holocentridae,Sargocentron suborbitale,13775,0.0216,2.8136,60,18.6,TL,18.6,1,1,2.54,LenFrq,Inferred
Scaridae,Scarus compressus,13981,0.0233,2.919,95,42.4,FL,46.616256,0.58,0.58,3.02,Otolth,Inferred
Scaridae,Scarus ghobban,5548,0.0233,2.919,90,27.4,TL,27.4,0.56,0.56,2.62,LenFrq,Fishbase
Scaridae,Scarus perrico,8392,0.01549,3.063,90,29,FL,31.88376,0.589,0.589,2.69,Otolth,Inferred
Scaridae,Scarus rubroviolaceus,5555,0.0136,3.109,100,42.4,FL,46.616256,0.58,0.58,3.02,Otolth,Fishbase
Scombridae,Scomber japonicus,117,0.0045,3.351,30,43.6,TL,43.6,0.244,0.244,2.67,Unknown,Fishbase
Scombridae,Scomberomorus sierra,136,0.0084,3,85,99.5,TL,99.5,0.205,0.205,3.31,Unknown,Fishbase
Scorpaenidae,Scorpaena guttata,3943,0.0154,2.814,30,34.6,TL,34.6,0.389,0.389,2.67,Unknown,Fishbase
Scorpaenidae,Scorpaena mystes,8333,0.0244,2.949,50,25.6,TL,25.6,0.32,0.32,2.32,Otolth,Inferred
Scorpaenidae,Scorpaenodes xyris,3948,0.016,2.9,20,25.6,TL,25.6,0.32,0.32,2.32,Otolth,Family
Carangidae,Selar crumenophthalmus,387,0.00291,3.57,25,24.6,TL,24.6,1.49,1.49,2.96,LenFrq,Fishbase
Carangidae,Selene brevoortii,1956,0.0189,2.44,45,29.5,TL,29.5,0.61,0.61,2.72,Unknown,Inferred
Labridae,Semicossyphus pulcher,3671,0.0289,3,85,33.25,SL,39.99408208,0.229,0.229,2.4,OthRin,Fishbase
Carangidae,Seriola lalandi,382,0.0246,2.845,130,148,TL,148,0.136,0.136,3.47,ScalRi,Fishbase
Carangidae,Seriola rivoliana,1007,0.0064,3.17,120,127,TL,127,0.227,0.227,3.56,Otolth,Inferred
Serranidae,Serranus psittacinus,14298,0.01261,2.878,70,30.08,TL,30.08,0.193,0.193,2.26,Unknown,Inferred
Serranidae,Serranus socorroensis,46537,0.01261,2.878,20,22.4,TL,22.4,0.38,0.38,2.28,Otolth,Inferred
Tetraodontidae,Sphoeroides annulatus,4293,0.018,3.05,45,30,TL,30,0.51,0.51,2.66,LenFrq,Inferred
Tetraodontidae,Sphoeroides lobatus,4295,0.0372,2.77,35,29.5,TL,29.5,0.77,0.77,2.83,LenFrq,Inferred
Sphyraenidae,Sphyraena ensis,6405,0.0038,3.0859,85,140,TL,140,0.139,0.139,3.44,Unknown,Inferred
Sphyraenidae,Sphyraena idiastes,8335,0.0038,3.0859,55,134,FL,151.241535,0.171,0.171,3.49,Unknown,Inferred
Sphyraenidae,Sphyraena lucasana,12007,0.0038,3.0859,70,156,TL,156,0.113,0.113,3.44,Unknown,Inferred
Pomacentridae,Stegastes acapulcoensis,12509,0.01813,3.076,25,11.15,SL,14.2313025,1.08,1.08,2.13,Otolth,Fishbase
Pomacentridae,Stegastes flavilatus,12512,0.01813,3.076,45,9.72,SL,11.9977848,1.3,1.3,2.09,Otolth,Fishbase
Pomacentridae,Stegastes leucorus,12514,0.01813,3.076,25,12.6,SL,12.6,0.272,0.272,1.64,Unknown,Inferred
Pomacentridae,Stegastes rectifraenum,12516,0.01813,3.076,90,10.73,SL,13.6754923,1.11,1.11,2.1,Otolth,Fishbase
Labridae,Stethojulis bandanensis,5640,0.03035,2.581,20,15,TL,15,1.1,1.1,2.39,LenFrq,Inferred
Balistidae,Sufflamen verres,13533,0.031,2.947,50,55.8,TL,55.8,0.17,0.17,2.72,OthRin,Family
Synodontidae,Synodus lacertinus,8219,0.0048,3.1928,30,29,TL,29,0.43,0.43,2.56,LenFrq,Inferred
Labridae,Thalassoma grammaticum,13822,0.0155,2.89,40,18.8,TL,18.8,1,1,2.55,LenFrq,Inferred
Labridae,Thalassoma lucasanum,13860,0.01261,2.878,35,18.8,TL,18.8,1,1,2.55,LenFrq,Inferred
Labridae,Thalassoma virens,13821,0.01261,2.878,30,18.8,TL,18.8,1,1,2.55,LenFrq,Inferred
Carangidae,Trachinotus rhodopus,1973,0.0253,3,40,39,FL,39,0.55,0.55,2.92,Otolth,Inferred
Carcharhinidae,Triaenodon obesus,907,0.00145,3.328,200,198,NG,198,0.19,0.19,3.87,Unknown,Family
Urolophidae,Urobatis concentricus,13274,0.00722,3.083,55,25.1,WD,25.1,0.11,0.11,1.84,OthRin,Inferred
Urolophidae,Urobatis halleri,2580,0.0073,3,60,34.8,WD,34.8,0.06,0.06,1.86,OthRin,Fishbase
Urolophidae,Urobatis maculatus,13276,0.0073,3,55,46,TL,46,0.152,0.152,2.51,Unknown,Inferred
Balistidae,Xanthichthys mento,4284,0.0406,2.792,35,55.8,TL,55.8,0.17,0.17,2.72,OthRin,Family
Zanclidae,Zanclus cornutus,5950,0.0147,3.36991,40,,,,,,,,
Rhinobatidae,Zapteryx exasperata,2550,0.0012,3.1915,170,100.7,TL,100.7,0.14,0.14,3.15,OthRin,Fishbase
